"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"	"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"
"FBXO10"	1.4303	1.49062	1.90902	4.05508	9.92045	2.90798	6.05042	7.4042	7.5146	5.5469
"FBXO11"	13.8897	14.4706	5.65909	6.88216	9.07167	8.76186	8.56428	7.6421	7.87282	12.3358
"FBXO15"	1.12611	0.096255	0.286002	0.146149	0.0685732	0.0436527	0.320916	0.274254	0.296593	0.169299
"FBXO16"	1.4086	1.854	0.819069	2.13448	3.71367	2.33647	2.4264	2.08857	1.76398	3.49667
"FBXO17"	2.68657	3.7318	2.66805	1.41699	1.01995	0.891904	7.53337	9.03882	8.4699	5.85259
"FBXO18"	21.4449	16.5612	29.088	16.9181	15.1384	12.3154	14.6623	13.699	13.8478	11.5768
"FBXO2"	5.08905	70.8634	8.23729	0.782542	0.160636	0.306782	28.0801	39.2337	38.1572	21.8509
"FBXO21"	21.7576	8.82842	20.0673	6.03197	4.11164	5.4315	16.2038	14.9828	15.7039	14.251
"FBXO22"	15.7987	19.7211	16.9435	14.6645	15.7021	11.0219	18.1584	15.4159	14.6579	17.4378
"FBXO22-AS1"	7.07644	10.176	4.41582	5.86761	5.72755	3.46001	6.17762	4.85568	4.95401	11.6258
"FBXO24"	0.248497	0.127439	0.252127	0.0516854	0.152649	0.0555883	0.509322	0.693275	0.678269	0.419208
"FBXO25"	8.26555	5.45046	5.87814	5.70283	3.50597	5.16703	1.64319	1.86099	1.97328	1.6424
"FBXO27"	4.96084	2.43391	3.46173	0.99036	0.886707	0.767668	3.7812	4.71628	4.94463	3.56628
"FBXO28"	5.83773	8.68096	2.58429	2.84463	4.30111	3.4344	5.14409	4.11089	4.18515	5.8669
"FBXO3"	8.16103	11.9304	5.23013	4.45546	3.91329	3.94846	10.7297	6.94102	6.66809	9.48471
"FBXO30"	2.95939	6.81493	1.60298	2.06538	2.66608	2.41437	8.17999	7.06414	7.75423	9.5892
"FBXO31"	7.93813	7.69778	11.3994	6.64093	6.49842	3.51343	5.73828	5.44139	5.00376	3.73224
"FBXO32"	1.7892	5.46967	0.838638	0.189681	0.0775488	0.166796	0.0853855	0.113806	0.137116	0.0953531
"FBXO33"	5.24929	3.04409	3.16899	5.64714	6.80902	5.53955	2.27223	1.94497	2.09295	2.71654
"FBXO34"	12.9948	6.0526	9.06412	7.76828	7.39208	7.72997	6.26088	6.27678	5.93719	5.87616
"FBXO36"	2.15167	0.349982	1.27622	0.581742	0.626927	0.814175	1.49431	1.38239	1.6624	1.55251
"FBXO38"	4.64054	5.91244	3.1344	5.89242	6.77177	5.8672	7.19444	5.80436	6.06306	7.45547
"FBXO39"	0	0.0221683	0	0.0631292	0.0236927	0.0452527	0.0332892	0.0473652	0.129348	0.0250489
"FBXO4"	4.86751	4.04088	2.47834	5.06849	5.24909	6.04179	0.298955	0.335553	0.244415	0.335631
"FBXO40"	0	0	0	0.0773552	0.0506556	0.0905012	0.0268911	0.0297031	0.0131596	0.0204217
"FBXO41"	3.62584	2.61434	5.8714	15.9703	8.42231	8.08844	6.10401	6.18644	6.53623	4.42593
"FBXO42"	5.80627	6.67272	7.51918	9.5845	8.9614	7.25132	6.74668	6.49759	6.87597	5.82891
"FBXO43"	0.133548	0.0737633	0.0864865	0.954521	1.35404	1.12133	0.390363	0.281861	0.405337	0.406819
"FBXO44"	3.94699	7.17395	6.4045	7.96716	5.83394	5.26256	10.2978	11.7427	11.2443	6.69613
"FBXO45"	10.6336	4.93184	5.23589	5.53502	4.70795	5.00983	4.43004	3.41756	3.70806	5.81551
"FBXO46"	4.87436	3.49259	5.84895	8.89142	9.37934	3.81621	9.86889	11.333	10.7886	7.31031
"FBXO47"	0.00757613	0	0	0	0	0.0316305	0	0	0.0113814	0
"FBXO48"	0.310873	0.604891	0.15624	0.192002	0.305431	0.370764	0.425261	0.380519	0.353528	0.385234
"FBXO5"	13.5701	8.75685	5.73215	16.1229	11.5931	14.7501	13.3776	11.0055	10.7169	13.4127
"FBXO6"	3.16744	2.5769	5.51746	8.83259	8.44286	7.59565	0.706772	0.677264	0.59634	0.244507
"FBXO7"	34.4228	36.1461	33.9533	42.3459	42.2706	35.1007	26.558	26.5299	25.1767	25.6128
"FBXO8"	3.9108	3.36585	2.68138	3.39873	5.23775	5.22141	1.32607	1.29172	1.54228	2.01383
"FBXO9"	8.84098	9.14666	6.43515	4.93668	5.7111	4.69329	5.61185	5.05049	5.12731	6.15403
"FBXW10"	0.098492	0.0404158	0.0326943	0.0200547	0.0215572	0.035967	0.029929	0.0108191	0.0111572	0.00576891
"FBXW11"	16.9482	10.6413	12.8073	10.8775	9.68128	10.3444	19.6162	16.1387	17.7238	18.8199
"FBXW12"	0	0	0	0.0732228	0.0274582	0.182381	0.185657	0.27254	0.259736	0.201127
"FBXW2"	10.9073	7.71037	8.21565	4.49381	6.08485	5.93154	6.70243	5.50567	5.60271	7.0628
"FBXW4"	21.7605	12.7928	36.4197	17.9369	12.7596	8.95938	17.6406	23.8963	22.2749	10.9392
"FBXW4P1"	0.223213	0.240718	0.340774	0.16872	0.119946	0.294301	0.490555	0.457711	0.293993	0.109381
"FBXW5"	58.6162	39.0799	146.04	27.4738	14.2635	5.36275	22.8157	23.5103	22.2205	11.7801
"FBXW7"	5.77153	9.93224	3.3087	16.8653	26.0368	17.6326	5.22398	4.7101	4.65329	6.72554
"FBXW8"	6.32676	2.39453	7.79453	3.10546	1.92672	1.80092	5.95856	6.29905	6.92057	5.39436
"FBXW9"	12.071	7.92808	22.5091	5.80946	3.32544	2.22489	6.79518	8.11311	7.4788	3.66303
"FCAMR"	0	0	0	0.0646391	0	0.0195613	0	0	0	0
"FCAR"	0.0166504	0	0.0447207	0.0455198	0.130145	0.113366	0.101781	0.0894161	0.116498	0
"FCER1A"	0	0	0.015403	0.134102	0.0358669	0.0686131	0	0	0	0
"FCER1G"	0.199627	0.0403109	0	0.422071	1.13041	0.0837246	0.324544	0.511071	0.225126	0.173392
"FCER2"	0.0123759	0.0126528	0	321.737	340.106	141.935	0.247901	0.396268	0.313014	0.142582
"FCF1"	33.0994	22.8081	19.023	12.6365	13.9301	12.983	22.7844	18.7538	21.0247	26.9396
"FCGBP"	0.0747272	0.00608976	0.0964526	0.13277	0.278274	0.0659096	0.608228	0.555127	0.618037	0.336174
"FCGR1A"	0.600908	0	0.297784	0.00938237	0	0	0	0	0.0120918	0.0437359
"FCGR1B"	0.604217	0.011766	0.231366	0	0	0.0116366	0	0.016235	0	0.0472066
"FCGR1C"	0.034849	0	0.0305924	0	0	0.0145626	0	0	0	0.0106693
"FCGR2A"	0.0321586	0.00732864	0.0372451	1.22347	3.6278	0.910445	0.109172	0.172598	0.129103	0.100076
"FCGR2B"	0.069747	0	0.0310345	11.1213	18.0789	9.6862	0.0127965	0	0.00627491	0
"FCGR2C"	0.0242457	0	0.0628173	4.115	11.1851	3.42309	0.0186702	0.00882372	0.00902255	0
"FCGR3A"	0	0	0	0.028514	0	0	0	0.0238386	0.0244609	0.0189776
"FCGR3B"	0	0	0	0	0	0	0	0	0	0
"FCGRT"	0.455842	0.948877	0.241186	0.142563	0.29181	0.0392384	8.30531	10.0923	9.55946	7.03182
"FCHO1"	11.1793	1.16804	17.6081	11.997	8.10849	5.663	10.2049	10.4682	10.2258	6.69709
"FCHO2"	3.90836	4.45002	1.39316	0.132054	0.149301	0.199196	1.36085	0.935475	1.04389	1.86882
"FCHSD1"	4.47062	3.03976	6.06562	5.58627	4.32925	3.56048	5.99788	6.99098	7.06602	4.93111
"FCHSD2"	5.61849	5.35452	4.28541	19.5103	19.3206	22.839	2.00243	1.93662	2.06762	2.05421
"FCN1"	0	0	0	0	0	0	0	0	0	0
"FCN2"	0	0	0	0	0	0	0	0	0	0
"FCN3"	0.0197824	0.0604715	0.111045	0.0924432	0.0432076	0.124104	0.0927476	0.192564	0.261001	0.0448449
"FCRL1"	0	0	0	0.0320396	0	0.0803766	0	0	0	0
"FCRL2"	0	0	0	0.100932	0.0291889	0.11137	0	0	0	0
"FCRL3"	0	0	0	0.138222	0.0495107	0.0826231	0	0	0	0
"FCRL4"	0	0	0	0.353079	0.0428507	0.306401	0	0.00716879	0	0
"FCRL5"	0	0	0	2.25068	0.444581	2.20274	0.545071	0.505514	0.620425	0.448809
"FCRL6"	0	0	0	0	0	0	0	0	0	0
"FCRLA"	0	1.24666	0	58.4541	46.8827	57.482	0	0	0	0
"FCRLB"	0.618564	0.591539	0.545553	0.756182	1.55247	0.677626	0.0622346	0.0887182	0.0757734	0.0704448
"FDFT1"	59.5612	234.255	65.7626	116.174	85.5938	89.1568	139.063	146.547	136.986	138.436
"FDPS"	117.071	367.743	125.792	163.211	117.703	136.662	151.658	160.175	142.027	139.105
"FDPSL2A"	0.222077	0.036855	0.149081	0.13788	0.500795	0.654904	0.151768	0.274274	0.194824	0.149192
"FDX1"	6.76162	8.01151	4.62468	4.32352	3.84426	4.7467	3.24147	3.75274	3.29784	4.55298
"FDX1L"	19.1971	21.8143	29.2461	9.24644	6.69773	4.82865	21.8374	21.6784	20.1956	13.8793
"FDXACB1"	0.439505	0.975171	0.252699	2.2896	2.52827	2.50657	0.831566	0.884792	0.729681	0.880023
"FDXR"	16.6325	12.985	21.8219	19.664	24.2757	8.30624	16.4802	21.6169	19.9687	9.49134
"FECH"	2.64526	3.48564	2.93401	3.60072	2.2983	3.19928	2.53135	2.88966	2.70796	2.46399
"FEM1A"	6.97531	10.3881	10.3086	10.3816	7.95039	4.96112	11.0259	12.826	12.2886	8.57674
"FEM1B"	8.82766	19.3429	11.901	9.34071	6.90185	6.13249	20.3473	15.9414	20.3372	18.0758
"FEM1C"	2.32465	4.92019	0.981487	6.83763	5.73738	5.90605	2.64843	2.14584	2.45146	3.65029
"FEN1"	49.0747	41.4422	65.768	49.9715	26.4474	37.2755	50.1153	51.3501	48.3807	44.4799
"FER"	1.05509	4.81824	0.598821	2.89945	2.58813	3.50861	1.68509	0.839964	1.00516	1.80289
"FER1L4"	2.98751	0.0514364	3.90146	0.157238	0.257695	0.198504	0.734804	1.15037	1.02251	0.725612
"FER1L5"	0.0101793	0.020908	0.00241892	0.00591816	0.00557179	0.0106171	0.0654397	0.126983	0.158362	0.0359667
"FER1L6"	0.0300278	0.00840969	0.0441031	0.019046	0	0.0227784	0	0.00400565	0.00414167	0
"FER1L6-AS1"	0	0	0	0	0	0	0	0	0	0
"FERD3L"	0	0	0	0	0	0	0	0	0	0
"FERMT1"	2.09629	66.1946	1.04161	0.183786	0	0.195118	2.78906	2.74835	3.19193	2.81406
"FERMT2"	13.1223	6.42417	11.6596	12.7697	7.65744	11.3835	32.4412	25.3704	24.4318	34.2933
"FERMT3"	0.340438	0.0977037	0.502814	60.1944	31.9386	24.609	0.725777	0.725953	0.768341	0.587733
"FES"	0.0501811	0.014693	0.059605	1.28267	5.08744	0.699484	2.98471	3.83124	3.42777	1.46502
"FETUB"	0	0.0683471	0	0	0.0243513	0	0.136942	0.097343	0.149477	0.154374
"FEV"	0.00947386	0	0.0089475	0	0	0	0.0290354	0	0.0283553	0
"FEZ1"	1.76331	66.9493	1.87751	5.29133	1.40962	4.5408	31.723	40.0509	38.2799	28.2047
"FEZ2"	16.7593	16.5212	6.50195	3.04533	3.50047	3.74676	2.93089	3.82657	3.41564	3.98853
"FEZF1"	0.0788366	0	0.0171307	0	0	0	3.89705	4.28151	4.3338	4.35581
"FEZF2"	0	0	0	0	0	0	0.0258146	0.0246475	0.0759361	0.019617
"FFAR1"	0	0	0.0203889	1.60791	0.858179	0.182689	0.0342581	0	0	0
"FFAR2"	0.0773	0	0.0649466	0.700235	19.1272	0.789004	0	0	0.0128763	0
"FFAR3"	0	0	0	0.0503324	0.188903	0	0	0	0	0
"FGA"	0	0	0	0	0	0	0	0	0	0.036868
"FGB"	0.00490639	0.00503333	0	0	0.0429556	0.0204767	0	0	0.0074109	0.0114956
"FGD1"	2.38135	6.40364	3.03775	0.264246	0.265788	0.155266	13.8158	13.59	13.6225	11.2759
"FGD2"	0.0952728	0	0.100926	7.69591	5.48247	6.42095	0.0170516	0.0738313	0.025359	0.0393304
"FGD3"	10.6172	0.0653945	17.93	6.39508	6.41037	3.209	0.484676	0.790012	0.710461	0.390621
"FGD4"	1.04029	3.34787	0.516262	0.0160647	0.0389008	0.00823491	3.86267	3.12163	3.81248	5.05624
"FGD5"	0.00841041	0	0.0106565	0.00326006	0.0184136	0.0292416	2.94017	4.06412	3.99124	2.48813
"FGD6"	1.15887	4.52562	0.362986	1.63548	2.54143	2.27595	3.58577	3.24628	3.68925	5.02528
"FGF1"	0.0314959	2.22951	0	0.00561218	0.0105575	0	0.17674	0.178085	0.11847	0.0452151
"FGF10"	0	0	0	0	0	0	0	0	0	0.0801006
"FGF11"	2.6171	8.12063	1.94469	7.11774	22.4711	5.35645	7.9544	10.2989	10.9752	6.6153
"FGF12"	1.8702	0.00944457	0.854822	0.00356582	0.0134256	0	1.45403	1.15809	1.1047	1.32219
"FGF13"	3.06345	0	1.23499	0.120348	0.0200006	0.119712	6.82958	6.97873	6.3981	6.78
"FGF14"	0	0	0	0	0	0	0.10147	0.0370068	0.0571499	0.0738521
"FGF14-IT1"	0	0	0	0.0192107	0	0	0	0.0120462	0	0
"FGF16"	0	0	0	0	0	0	0.551031	0.539743	0.504045	1.53764
"FGF17"	0.0310138	0.0316624	0.0145642	0.325702	0.0677793	0.097221	0.144217	0.31513	0.114631	0.177419
"FGF18"	0.750056	0	0.565304	0.0624043	0.0390651	0.0559302	0.273382	0.312808	0.187283	0.269528
"FGF19"	0	0.00841814	0	0	0	0	4.18378	3.60094	3.61269	3.00067
"FGF2"	0.0716857	2.43334	0.0231004	0.488812	0.258046	0.527177	14.9301	11.3723	12.9599	20.5613
"FGF20"	0	0	0	0	0	0	0.0907677	0.0841005	0.0568522	0.131885
"FGF21"	0	0	0	0	0	0	0.434585	0.232524	0.40252	0.155513
"FGF22"	0.347018	0	0.135426	0	0.10782	0	0.657465	0.279813	0.960719	0
"FGF23"	0.00565779	0	0	0	0.0247641	0	0.232417	0.132503	0.15359	0.158805
"FGF3"	0	0	0	0	0	0	0	0	0	0
"FGF4"	0	0	0	0	0	0	0.313094	0.0902097	0.0689082	0.0711009
"FGF5"	0.322868	2.22268	0.245554	0.190352	0.368485	0.427946	0.2613	0.242987	0.266671	0.583958
"FGF6"	0	0	0	0	0	0	0	0	0.0416045	0
"FGF7"	0.0405762	0.0131489	0	0	0.00467464	0.0133679	0.00648156	0	0	0
"FGF8"	0.0210865	0	0.0223958	0.098571	0.0524583	0.0502841	1.00348	0.484663	0.623507	0.7557
"FGF9"	0	0.00756811	0	0.0514559	0	0	0.00558829	0.0324309	0.0334938	0.0433071
"FGFBP1"	0.161486	649.785	0.0606319	0	0	0	0.125307	0.0937126	0.143067	0.0738004
"FGFBP2"	1.48451	0.0665934	2.6946	0.0380794	0	0.0681923	0	0.0236637	0	0
"FGFBP3"	1.37494	0.158895	0.855129	0.149073	0.353952	0.154747	92.9808	72.6409	72.6499	89.2322
"FGFR1"	2.075	1.62592	3.46428	7.88936	1.21247	4.4464	111.472	116.563	118.293	85.1389
"FGFR1OP"	7.66733	6.43954	4.99784	6.97659	9.09016	7.86972	10.05	7.24328	8.13634	12.5055
"FGFR1OP2"	15.7795	14.8457	11.0883	21.6044	23.4828	22.6911	11.3273	8.55624	8.63289	13.2307
"FGFR2"	3.87115	7.75699	4.91124	0	0.0124215	0.025797	23.855	23.4833	25.4807	22.9977
"FGFR3"	5.44812	2.1737	9.04423	0.0247446	0.0170974	0	10.4654	8.39471	8.20292	7.33986
"FGFR4"	3.05196	0.396293	8.33331	0.155746	0.116897	0.0770337	25.8017	27.4582	27.6153	14.887
"FGFRL1"	14.4386	13.3292	43.7838	1.86325	0.302076	0.506966	11.6348	11.6494	11.6022	6.73028
"FGG"	0.010878	0.0779041	0	0.0126773	0	0	0.0334275	0	0	0.0251482
"FGGY"	5.26982	3.57637	4.07135	3.31304	4.22473	3.04119	3.36146	3.61526	3.6668	2.49814
"FGL1"	0	0.0308603	0	0	0	0	0	0	0	0
"FGL2"	0.0196171	0.0402675	0.00744907	2.00807	3.94212	3.25801	0.00594998	0	0	0
"FGR"	0	0.0660007	0	22.7597	45.6737	19.2497	0.185605	0.167374	0.245731	0.100087
"FH"	33.2718	62.0255	32.3614	63.2107	41.2817	45.5857	38.489	40.202	39.0195	40.6651
"FHAD1"	0.0783651	0.00670443	0.0341174	0.0113924	0	0.00681201	0.153317	0.177197	0.178148	0.138218
"FHDC1"	1.88482	4.36246	2.01642	0.0118307	0.0111383	0.0371423	9.48421	6.5552	6.76772	8.15457
"FHIT"	1.70483	1.9118	0.954958	6.95216	8.28843	3.25814	1.36568	1.79927	2.00109	1.13363
"FHL1"	7.06876	13.1732	10.2196	1.87426	0.643111	1.94816	17.9485	20.6733	19.8522	17.3078
"FHL2"	17.5885	91.8647	12.8807	3.15441	1.4984	2.41095	16.4459	23.3497	21.207	14.7178
"FHL3"	1.98067	13.5035	2.49014	7.49209	5.93966	4.19873	17.7595	18.6411	18.9701	9.50625
"FHL5"	0	0	0	0	0	0.0194929	0	0	0	0
"FHOD1"	5.81654	12.2328	9.92624	15.0634	8.22979	6.62409	18.9091	17.5582	17.5577	12.313
"FHOD3"	0.498303	7.93604	0.495672	9.00648	1.52577	5.24714	5.20783	4.36011	4.30067	4.30638
"FIBCD1"	6.75765	0.242176	17.5221	0.0127138	0	0.0113997	1.13786	1.85971	1.83792	0.779761
"FIBIN"	0	0.361392	0	0	0	0	0.129723	0.174709	0.162863	0.186117
"FIBP"	66.7243	40.5629	91.72	47.5235	32.2096	25.8558	48.2043	50.0445	46.8933	34.3052
"FICD"	2.07005	1.04206	4.73114	2.09339	1.43711	0.892108	3.53444	3.30367	3.12127	1.94938
"FIG4"	6.78979	4.70057	4.64377	6.76436	7.43589	4.85682	8.89947	8.84698	9.19184	9.92811
"FIGF"	0.0106734	0.0208543	5.10966e-26	0	0	8.55937e-26	0.0649541	0.0372051	0.0891431	0.0789584
"FIGLA"	0	0	0	0	0	0	0.0479729	0	0	0
"FIGN"	2.55184	1.61772	2.58736	0	0	0	4.57709	2.64009	3.35113	3.78937
"FIGNL1"	9.39861	5.0088	4.98729	5.47974	4.42007	5.15389	2.19073	2.13577	2.22402	2.83054
"FIGNL2"	0	0	0.0134936	0.0165268	0	0.00741127	4.09142	4.65678	4.65414	3.53978
"FILIP1"	0.0180501	0	0.00342802	0.0251933	0.600614	0	1.19826	1.68856	1.60738	1.42516
"FILIP1L"	2.53196	2.46924	1.06749	0.410518	2.28233	0.671295	0.0709785	0.0455818	0.00783188	0.0242959
"FIP1L1"	16.2451	21.4467	12.9497	25.9164	20.6021	18.2218	17.9009	17.3196	17.0119	18.0407
"FIS1"	185.817	129.956	331.114	65.4291	61.4045	44.2009	96.1444	100.733	90.5124	68.592
"FITM1"	0.275598	0	0.294689	0.344949	0.12899	0.041164	0.0922746	0.199322	0.259768	0.133904
"FITM2"	7.25212	5.26346	14.8026	1.19326	0.682641	0.261504	1.56641	1.98755	1.76814	1.13118
"FIZ1"	4.82605	2.96177	6.45401	2.63161	1.41753	0.581386	5.70543	6.0926	5.96905	3.7659
"FJX1"	4.45988	19.4315	5.39538	1.6633	1.16384	0.548345	5.20366	5.16472	4.78603	3.24695
"FKBP10"	5.78697	31.885	8.0899	0.96118	0.84515	0.595198	69.8093	74.9121	72.57	53.7409
"FKBP11"	13.0236	16.5221	13.7546	42.6234	26.4788	31.3398	34.9734	35.4093	32.8526	28.1922
"FKBP14"	1.08902	6.96535	0.495443	1.45378	3.16546	2.36272	3.20817	2.19352	2.79175	4.07434
"FKBP15"	15.4144	9.85848	18.7415	14.6225	10.1795	9.35597	5.94531	6.08721	6.00503	5.2929
"FKBP1A"	78.0882	327.752	72.9825	135.881	135.311	94.2457	127.644	121.981	118.777	121.729
"FKBP1A-SDCBP2"	0.180991	1.90165	0.848308	0.454583	0.0503406	1.00064e-16	0.237284	0.653128	0.532377	0.336178
"FKBP1AP1"	0.479063	1.84768	0.270044	0.823582	2.09527	0.828026	0.355431	0.673966	0.345024	0.127263
"FKBP1B"	0.681349	18.227	0.953187	0.454184	0.130107	0.210107	36.5271	38.7567	33.843	28.349
"FKBP2"	46.6797	66.1363	45.1331	40.4265	35.6178	20.3101	56.7378	58.5335	63.0905	44.1106
"FKBP3"	91.9656	53.9671	33.4755	51.6219	53.0918	47.9564	58.4906	62.4267	65.348	126.876
"FKBP4"	121.241	59.8678	180.839	39.8408	20.2919	26.6256	84.8087	83.0484	74.8087	72.2007
"FKBP5"	9.3427	72.1994	6.89371	21.0446	30.9803	17.5858	17.8184	17.2758	18.2291	19.8653
"FKBP6"	0.0590917	0.0721776	0.100129	0.178294	0.193209	0.0863997	0.234229	0.0688336	0.184828	0.0136311
"FKBP7"	0.53661	0.580484	0.173178	1.07076	1.04538	1.41526	0.637299	0.802531	0.74665	1.15824
"FKBP8"	97.1414	120.468	197.923	125.649	86.7229	42.1793	176.939	203.572	185.375	106.833
"FKBP9"	24.1668	41.933	27.1087	1.40302	2.78502	1.25558	3.00389	3.42061	3.70926	2.78555
"FKBP9L"	1.92952	5.35073	1.30305	0.319763	0.22709	0.407078	0.205858	0.320638	0.472925	0.272577
"FKBPL"	5.04763	3.54193	4.65661	2.39374	2.18253	2.31787	7.32816	5.86565	5.20403	5.44578
"FKBPL"	0	0	0	0	0	0	0	0	0	0
"FKBPL"	0	0	0	0	0	0	0	0	0	0
"FKBPL"	0	0	0	0	0	0	0	0	0	0
"FKRP"	2.24633	4.96763	3.56673	2.08494	1.93375	0.909073	7.12506	6.8452	7.07152	4.88907
"FKSG29"	0	0	0	0.0899376	0.417177	0.0802995	0.248261	0.109096	0.108317	0.166903
"FKSG43"	0	0	0.00469129	0.0115798	0	0.0103771	0.0152436	0.0144949	0	0
"FKSG83"	0	0	0	0	0	0.0343418	0	0	0	0
"FKTN"	4.07501	3.7251	2.01615	2.25021	2.27077	2.76418	1.29602	1.27639	1.43157	1.65047
"FLAD1"	25.6663	21.3382	36.5634	20.085	15.7255	13.6025	46.5388	49.5036	46.8681	36.1964
"FLCN"	8.18553	7.28331	12.0851	8.79024	7.26757	7.11132	11.2709	10.3689	11.0681	8.85634
"FLG"	0.0165634	0.288035	0.036375	0.007405	0	0.00797203	0.00192271	0	0.00193887	0.00300989
"FLG2"	0.00358242	0.00184018	0.00851892	0	0	0	0	0	0	0
"FLI1"	0	1.67699	0	16.9581	8.09652	15.1082	0.0768886	0.0123764	0.0510971	0.0891807
"FLII"	43.6366	74.7711	90.3268	28.5411	17.7808	12.857	70.5937	75.4588	75.1648	48.7685
"FLJ10038"	4.53112	0.371317	2.36455	0.889496	1.25451	1.6015	1.267	1.19992	1.09712	1.50616
"FLJ10661"	0.998375	0.450933	1.29499	1.37853	1.16932	0.955918	3.08568	2.7724	3.58725	2.10815
"FLJ11235"	0.198706	0	0.299223	0.0308963	0.0289601	0	0.245342	0.385314	0.491851	0.243716
"FLJ12334"	0.0509742	0	0.0483121	0.665724	0.718921	0.626462	0.163728	0.182384	0.230627	0.119228
"FLJ12825"	0.0213217	0.00875194	0.0283283	0.00496082	0.028003	0.0266931	0.00647111	0.00624922	0	0.0100058
"FLJ13197"	0.411405	0.0941023	0.180752	0.0769817	1.18144	0.0613417	0.190618	0.204019	0.27604	0.23966
"FLJ13224"	0.144461	0.102308	0.188624	0.5051	0.388811	0.487384	0.25622	0.275236	0.364644	0.359474
"FLJ14107"	0.067926	0.0198659	0.0916263	0.0452208	0.169795	0.324202	0.0297527	0	0.0435446	0.0674768
"FLJ14186"	1.09108	0.853053	1.82448	2.09628	2.22954	1.87452	2.92704	3.00029	3.28727	1.29799
"FLJ16341"	0	0	0	0	0	0	0	0	0	0
"FLJ16779"	0.0365181	0.0816401	0.0837464	0.0224778	0	0	0.0779263	0.107225	0.0881018	0.0607746
"FLJ20021"	8.44117	8.33186	22.5333	0.900946	1.27428	0.666727	3.19423	2.32872	2.34226	1.06738
"FLJ20518"	0.000930311	0	0	0.000976062	0.00203719	0.00192488	0.00125365	0.00127419	0.00137857	0.00224741
"FLJ20518"	0	0	0	0	0	0	0	0	0	0
"FLJ21408"	0.11686	0.0393469	0.143251	0.274459	0.169699	0	0	0.0554476	0.055013	0
"FLJ22184"	3.5941	0.0379541	5.7942	0.0129027	0.016189	0	18.8783	18.6838	19.2156	12.4748
"FLJ22447"	0.0679226	0.166569	0.0383437	0.0475294	0.445446	0.0567636	0.0629383	0.0790033	0.0403231	0.0312172
"FLJ22763"	0	0	0	0	0	0	0	0	0	0
"FLJ23152"	0.0706834	0	0.0664699	0	0	0	0.0437102	0.0205441	0.0628735	0
"FLJ23867"	10.3186	15.2608	13.1575	0.368648	0.152474	0.171867	1.39918	1.48261	1.49776	1.09472
"FLJ25328"	0	0	0	0	0	0	0	0	0	0
"FLJ25363"	0	0	0	0	0	0	0.0756781	0.0357507	0.0182748	0
"FLJ25758"	0	0	0	0.117252	0.109935	0.052519	0	0	0	0
"FLJ26245"	0	0	0	0	0	0	0	0	0	0
"FLJ26484"	0.030845	0.00790061	0.0218841	0.0359162	0.0506134	0.0482927	0.0235551	0.0338023	0.0347436	0.0179538
"FLJ26850"	0.398132	0.131275	0.374845	0.0299506	0.0561566	0	0.0396126	0	0.0572682	0.0295616
"FLJ27352"	2.93365	2.02347	0.63445	0.366876	0.434928	0.0596323	0.633752	0.408961	0.656718	1.2039
"FLJ27354"	0	0	0	0.0938285	0.174922	0.167799	0.126974	0.0384252	0.193204	0
"FLJ30403"	0.214522	0.216181	0.152231	0.591539	0.684949	0.689628	0.703546	0.641248	0.733583	0.538965
"FLJ30679"	0.11621	0.0366144	0.160488	0.0937113	0.0586631	0.0373285	0.109477	0.117433	0.174096	0.124534
"FLJ30838"	0.00779334	0	0	0	0	0	0.372274	0.302746	0.2831	0.38433
"FLJ31306"	11.0373	4.24799	2.58105	8.39554	9.33934	11.4903	3.30341	3.3252	3.27325	6.42971
"FLJ31485"	0.00917427	0	0	0	0	0	0.0348257	0.00672041	0.0138664	0.0537768
"FLJ31662"	0	0	0	0	0	0	0	0	0	0
"FLJ31813"	0.382509	0.179422	0.334443	0.321725	0.221688	0.292799	0.194863	0.141157	0.18733	0.12802
"FLJ32063"	0.066539	0	0.0776566	0	0	0	0	0	0	0
"FLJ32224"	0.325555	0.314637	0.2571	0.70009	0.336942	0.537249	0.959096	1.06802	1.08577	1.09391
"FLJ33065"	0.0333008	0.102327	0.039355	0.252084	0.528171	0.382376	0.152759	0.206689	0.149852	0.0387131
"FLJ33360"	0	0	0	0.0250722	0.0157066	0	0	0	0	0
"FLJ33534"	0.0664436	0	0.0417729	0	0	0	0.034042	0	0	0
"FLJ33581"	0.0292785	0	0.0138535	0	0	0	0.0111712	0	0	0
"FLJ33630"	2.45534	1.86464	1.08659	1.91401	3.44709	2.73132	0.246758	0.237309	0.270666	0.419772
"FLJ34208"	0.102917	0.0349969	0.0965144	1.18142	0.936952	0.215131	0.346724	0.372959	0.379148	0.312867
"FLJ34503"	0	0	0.00832676	0.0102629	0	0.0183967	0	0	0	0
"FLJ34690"	0	0	0	0	0	0	0	0	0	0
"FLJ34747"	0	0	0	0	0	0	0	0	0.00773267	0
"FLJ35024"	0.276749	0.445814	0.301155	0.0808986	0.755224	0.0964968	1.1425	1.46365	1.2764	1.40154
"FLJ35282"	1.64681	0.0456074	0.814232	0	0	0.0154849	0.0339705	0.0325252	0.04459	0.034565
